BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,,,AnimationDramaFamilyRomance,,October,8.2,111,A Silent Voice: The Movie,2016
,,,CrimeDramaMysteryThriller,,October,8.2,132,Talvar,2015
Color,2500000000,INR,ActionDrama,,April,8.2,141,Baahubali 2: The Conclusion,2017
Color,40000000,$,AdventureAnimationComedyFamily,PG,November,8.2,96,Klaus,2019
Color,9400000,$,CrimeDramaMysteryThriller,,July,8.2,163,Drishyam,2015
Color,,,AdventureComedyDrama,,March,8.2,146,Queen,2013
Color,650000,EUR,DramaWar,,April,8.2,87,Tangerines,2013
Color,,,BiographyDramaSport,,July,8.2,186,Bhaag Milkha Bhaag,2013
Color,184000000,INR,ActionComedyCrimeDramaThriller,,June,8.2,321,Gangs of Wasseypur,2012
Color,,,ActionBiographyCrimeSportThriller,,March,8.2,135,Paan Singh Tomar,2012
Color,2000000,$,DramaMysteryRomanceThriller,R,April,8.2,129,The Secret in Their Eyes,2009
Color,,,ActionAdventureFantasySci-Fi,R,Alternate,8.2,242,Zack Snyder's Justice League,2021
Color,80000000,$,MysteryThriller,R,February,8.2,138,Shutter Island,2010
Color,175000000,$,AdventureAnimationComedyFamily,PG,May,8.2,96,Up,2009
Color,,,Drama,,October,8.2,132,Miracle in Cell No. 7,2019
Color,100000000,$,BiographyCrimeDrama,R,December,8.2,240,The Wolf of Wall Street,2013
Color,,,DramaFamilySport,,August,8.2,153,Chak De! India,2007
Color,25000000,$,Drama,R,December,8.2,158,There Will Be Blood,2007
Color,19000000,$,DramaFantasyWar,R,December,8.2,112,Pan's Labyrinth,2006
Color,200000000,$,AdventureAnimationComedyFamilyFantasy,,June,8.2,103,Toy Story 3,2010
Color,180000000,INR,Drama,,February,8.2,122,Black,2005
Color,150000000,$,ActionAdventure,PG-13,June,8.2,140,Batman Begins,2005
Color,,,Drama,,December,8.2,195,Swades,2004
Color,13500000,EUR,BiographyDramaHistoryWar,R,February,8.2,178,Downfall,2004
Color,24000000,$,AdventureAnimationFamilyFantasy,PG,June,8.2,119,Howl's Moving Castle,2004
